2937348,KehShin Lii
2874904,Michael G. Akritas
36674058,Steven F. Arnold
145358210,Yunling Du
2340955,Kathleen Subrahmaniam
1398307896,Einar Andreas Rdland
47973468,Alan S. Young
102881550,D. G. Kendall
50606236,Gouri K. Bhattacharyya
10441735,Neil A. Butler
4147321,Richard M. Royall
14379912,William G. Cumberland
50195568,Vernon T. Farewell
144532254,Calyampudi R. Rao
2522917,Herold Dehling
1725893,Murad S. Taqqu
12563997,Willa W. Chen
1733154,Rohit S. Deo
40692911,Maurice Stevenson Bartlett
145150409,Willem Albers
2949932,Rasmus Waagepetersen
48953282,Yongtao Guan
2028736,Sharon L. Lohr
144288531,J. N. K. Rao
1754887,Anatoli B. Juditsky
2352281,Philippe Rigollet
2667773,Alexandre B. Tsybakov
39449556,JinTing Zhang
47976263,Frederick Mosteller
2642550,Wojtek J. Krzanowski
48814663,Yuan Xun Liao
39367091,Wenxin Jiang
2019738,Per Aslak Mykland
103641979,JianJian Ren
34068805,John W. Pratt
46929857,Jiti Gao
35288660,Guangming Pan
2193996,Yanrong Yang
103041238,Dav I D R. Brillinger
30090464,Chris A. J. Klaassen
50590305,Hein Putter
2294315,Els Goetghebeur
2491165,Geert Molenberghs
2007183,Bin Nan
3660136,John D. Kalbfleisch
2800764,Menggang Yu
20479455,Gary Lorden
89380652,P. H. Leslie
33369069,John C. Gower
2878717,Ciprian M. Crainiceanu
144576019,AnaMaria Staicu
48100351,ChongZhi Di
3211143,X. Jessie Jeng
49282956,Tengfei Cai
2814908,Hongzhe Li
1833779,Diane Lambert
144750484,Kathryn Roeder
46510656,Cong Han
9894852,Bradley P. Carlin
114357808,Eduard Belitser
2291789,Subhashis Ghosal
34662428,Emilio Porcu
30589856,Moreno Bevilacqua
2949986,Alex Tank
2394622,Emily B. Fox
2204469,Ali Shojaie
3631836,W. Edwards Deming
39737566,John P. Gilbert
20227684,Morris H. Hansen
17083007,William G. Madow
69542275,Benjamin J. Tepping
13543678,David A. Harville
49252656,Jia Chen
1880198,Degui Li
145852705,Oliver Linton
145230382,Zudi Lu
82932230,Zvi Gilula
144657690,Yung Liang Tong
49432033,Patricia A. Moran
1403563477,Johannes SchmidtHieber
113011383,Axel Munk
1809121,Lutz Dmbgen
2710135,Anthony Y. C. Kuk
66556705,Aa.
46918097,Alan Roy Stuart
3180920,Keith Ord
2081831,Haiqun Lin
36848025,Daniel O Scharfstein
14328425,Robert A. Rosenheck
1717594,Abdelkader Mokkadem
12310735,Mariane Pelletier
3044550,Hans R. Knsch
1913588,Leonard A. Stefanski
34101041,Raymond J. Carroll
2488720,Nathaniel Schenker
13277384,Alan Welsh
34574461,Douglas A. Wolfe
103638873,Xinbing Kong
8220548,Roy C. Geary
143811989,Wolfgang Bischoff
145157680,Frank Miller
3269590,Walter W. Piegorsch
2008035,Winfried Stute
143763311,A. Jara
9548762,Timothy E. Hanson
5678387,Yoonsuh Jung
1985263,Jianhua Z. Huang
49268059,Jianhua Hu
1401751448,Albert MaydeuOlivares
145398965,Harry Joe
2176182,Siegfried Hrmann
2711388,Piotr Kokoszka
2360319,Martin T. Wells
2033930,Norbert Binkiewicz
1717958,Joshua T. Vogelstein
2141647,Karl Rohe
89127357,Alexandre B. Tsybakov
1762565,Steve Hanneke
50688699,Hua Yun Chen
145089938,G. J. Lieberman
69577099,Theodore W. Anderson
2249175,Craig A. Cooley
145449380,Steven N. MacEachern
48586423,Christina Dan Wang
48100433,Christopher A. T. Ferro
143617138,Johan Segers
1979655,Rosalba Radice
3422181,Alexander Luedtke
3033525,Mark J. van der Laan
1989673,YiChing Yao
143971171,Peter A. Hall
48920368,Tung Pham
28582490,Egon S. Pearson
1863924,Stephane Heritier
2567806,Elvezio Ronchetti
2550392,Bradley Efron
34723349,Ramani S. Pilla
46797371,Annie Qu
144487683,Catherine Loader
80578870,Max Halperin
4548701,Samuel W. Greenhouse
143699031,Earl Lawrence
1742426,George Michailidis
1838198,Vijayan N. Nair
8901921,Joseph Waksberg
144233260,Ang Li
32492090,Rina Foygel Barber
39735040,Yunming Mu
47023604,Xuming He
